Naissance,Debut,Enfants,Sexe,AgeLiq,AOD,ATP,DTP,AOD_Macron,AgeCL_Macron,DC,DV,CL,Possible,Tauxplein,Decote,Surcote,Possible_Mac,Tauxplein_Mac,Decote_Mac,Surcote_Mac
1955,17,0,1,60,62,67,166,62,60,172,172,1,1,1,0,0,1,1,0,0
1955,17,0,1,61,62,67,166,62,60,176,176,1,1,1,0,0,1,1,0,0
1955,17,0,1,62,62,67,166,62,60,180,180,1,1,1,0,0,1,1,0,0
1955,17,0,1,63,62,67,166,62,60,184,184,1,1,1,0,4,1,1,0,4
1955,17,0,1,64,62,67,166,62,60,188,188,1,1,1,0,8,1,1,0,8
1955,17,0,1,65,62,67,166,62,60,192,192,1,1,1,0,12,1,1,0,12
1955,17,0,1,66,62,67,166,62,60,196,196,1,1,1,0,16,1,1,0,16
1955,17,0,1,67,62,67,166,62,60,200,200,1,1,1,0,20,1,1,0,20
1955,17,0,2,60,62,67,166,62,60,172,172,1,1,1,0,0,1,1,0,0
1955,17,0,2,61,62,67,166,62,60,176,176,1,1,1,0,0,1,1,0,0
1955,17,0,2,62,62,67,166,62,60,180,180,1,1,1,0,0,1,1,0,0
1955,17,0,2,63,62,67,166,62,60,184,184,1,1,1,0,4,1,1,0,4
1955,17,0,2,64,62,67,166,62,60,188,188,1,1,1,0,8,1,1,0,8
1955,17,0,2,65,62,67,166,62,60,192,192,1,1,1,0,12,1,1,0,12
1955,17,0,2,66,62,67,166,62,60,196,196,1,1,1,0,16,1,1,0,16
1955,17,0,2,67,62,67,166,62,60,200,200,1,1,1,0,20,1,1,0,20
1955,17,1,1,60,62,67,166,62,60,172,172,1,1,1,0,0,1,1,0,0
1955,17,1,1,61,62,67,166,62,60,176,176,1,1,1,0,0,1,1,0,0
1955,17,1,1,62,62,67,166,62,60,180,180,1,1,1,0,0,1,1,0,0
1955,17,1,1,63,62,67,166,62,60,184,184,1,1,1,0,4,1,1,0,4
1955,17,1,1,64,62,67,166,62,60,188,188,1,1,1,0,8,1,1,0,8
1955,17,1,1,65,62,67,166,62,60,192,192,1,1,1,0,12,1,1,0,12
1955,17,1,1,66,62,67,166,62,60,196,196,1,1,1,0,16,1,1,0,16
1955,17,1,1,67,62,67,166,62,60,200,200,1,1,1,0,20,1,1,0,20
1955,17,1,2,60,62,67,166,62,60,172,172,1,1,1,0,0,1,1,0,0
